ubigeo,mujer,no_seguro_salud,discapacitados,lengua_originaria,sin_nivel_educ,primaria,secundaria,superior_nouniv_incom,superior_nouniv_com,superior_univ_incom,superior_univ_com,posgrado,relig_catolica,relig_ninguna,relig_cristiana,edad_0_17_porc,edad_18_35_porc,edad_36_60_porc,edad_60_mas_porc,viv_agua_porc,viv_elec_proc,viv_desag_proc,nombredd,nombrepv,nombredi,D_pobreza,D_pobrezaex,D_gini,D_pob_crim,paltitud1,paltitud2,paltitud3,paltitud4,paltitud5,paltitud6,paltitud7,paltitud8,paltitud9,altitud,dept,prov,dist
90717,49.72102,6.3742962,14.17629,90.665115,15.198453,35.840252,34.512806,1.2093991,1.1722823,0.79590291,1.8002824,0.147827,65.772018,0.29535827,10.318024,0.3740491,0.1975657,0.2540752,0.1404043,60.462555,57.048458,18.997797,HUANCAVELICA,TAYACAJA,SURCUBAMBA,60.900002,21.6,0.30000001,2,0,0,0,1,0,0,0,0,0,4064,HUANCAVELICA,TAYACAJA,SURCUBAMBA
90718,48.42952,5.353188,4.022922,83.507019,20.094788,29.74481,33.560661,1.8819863,2.5896657,0.76048791,2.5964205,0.1709715,44.74894,0.070535243,30.535341,0.37342191,0.2498339,0.24186049,0.093687698,45.151955,40.159191,12.228654,HUANCAVELICA,TAYACAJA,TINTAY PUNCU,60.900002,23.9,0.30000001,0,0,0,0,1,0,0,0,0,0,4208,HUANCAVELICA,TAYACAJA,TINTAY PUNCU
90719,48.379848,6.0668778,7.055522,83.399841,13.571814,41.022434,29.336708,0.93236911,0.88426232,0.7043137,0.94845933,0.12675799,34.806065,0.5392741,36.917534,0.42002529,0.22332069,0.2294043,0.091254801,23.486547,48.710758,13.621077,HUANCAVELICA,TAYACAJA,QUICHUAS,74,29,0.30000001,0,,,,,,,,,,,HUANCAVELICA,TAYACAJA,QUICHUAS
90720,47.82811,5.3792548,9.1422968,80.551102,16.605101,40.538506,27.563374,0.79174978,1.9441901,0.32256311,1.4076998,0.127489,42.280235,0.40118915,29.421335,0.41297939,0.2081753,0.24146651,0.1078803,37.554585,40.247452,13.755459,HUANCAVELICA,TAYACAJA,ANDAYMARCA,64.300003,26,0.30000001,0,,,,,,,,,,,HUANCAVELICA,TAYACAJA,ANDAYMARCA
90721,47.345058,6.0266871,14.57805,90.307014,12.505274,33.16264,36.979481,0.22938471,1.0658807,0.38038161,1.7716868,0.1601657,24.005915,2.5949521,44.234035,0.42461541,0.27230769,0.2015385,0.067692302,29.228855,29.35323,10.820895,HUANCAVELICA,TAYACAJA,ROBLE,60.900002,23.9,0.30000001,0,,,,,,,,,,,HUANCAVELICA,TAYACAJA,ROBLE
90722,50.39679,10.72852,8.5124207,70.036995,18.118122,37.920078,27.357597,0.91084439,0.58444732,0.4714365,0.63498902,0.1008966,31.801285,0.41637611,39.64764,0.41327071,0.20532911,0.21943571,0.1222571,36.598331,30.675779,19.969627,HUANCAVELICA,TAYACAJA,PICHOS,60.299999,16.299999,0.30000001,0,,,,,,,,,,,HUANCAVELICA,TAYACAJA,PICHOS
90723,51.013599,9.446847,4.0597401,91.254128,14.014889,43.221973,29.6007,0.32825297,0.86448139,0.066613287,0.46300286,0.063270234,55.575344,0.064963453,17.81366,0.4135682,0.20221791,0.2641879,0.095890403,52.750351,50.916779,14.245416,HUANCAVELICA,TAYACAJA,SANTIAGO DE TUCUMA,40.5,6.9000001,0.30000001,0,,,,,,,,,,,HUANCAVELICA,TAYACAJA,SANTIAGO DE TUCUMA
100101,51.59494,25.081011,9.698637,19.24338,6.994338,22.091862,29.781166,2.9237249,4.3517599,7.6649013,14.716903,1.7725739,59.246265,2.8830726,16.526381,0.32039511,0.27411681,0.25524569,0.1119416,64.30043,70.479858,62.953922,HUÁNUCO,HUÁNUCO,HUANUCO,22.4,6.5999999,0.40000001,514,0,0,1,0,0,0,0,0,0,3635,HUANUCO,HUANUCO,HUANUCO
100102,51.561501,26.273109,10.30132,16.838388,6.4735074,21.255774,29.409496,3.5499096,5.3118458,7.9740887,13.962667,1.9083283,55.901024,3.4905171,18.869204,0.320988,0.2809934,0.25828311,0.1023189,65.558922,72.787247,62.74791,HUÁNUCO,HUÁNUCO,AMARILIS,17.9,3.5,0.40000001,152,0,0,1,0,0,0,0,0,0,3781,HUANUCO,HUANUCO,AMARILIS
100103,50.046371,17.67312,8.9750862,14.923271,17.260746,43.488796,24.68059,1.0139869,0.97567892,0.98460454,1.2062625,0.058849096,44.814663,2.1772709,29.104425,0.34800151,0.24194901,0.25085649,0.1232585,34.594299,49.378651,9.1191521,HUÁNUCO,HUÁNUCO,CHINCHAO,59.5,21.4,0.30000001,104,0,0,1,0,0,0,0,0,0,3258,HUANUCO,HUANUCO,CHINCHAO
