,id_hdv,part_rec,party_memb,party_ocup,party_start,party_end
177,0-39-6,1,PARTIDO POLÍTICO ACCION POPULAR ,SECRETARIA DISTRITAL ,2018 ,HASTA LA ACTUALIDAD
178,0-39-7,1,PARTIDO POLÍTICO ACCION POPULAR ,COMANDO JUVENTUDES ,2009 ,2014 
179,0-39-7,2,PARTIDO POLÍTICO ACCION POPULAR ,COMITÉ DE LA MUJER ,2017 ,2019 
180,0-40-1,1,PARTIDO POLÍTICO DEMOCRACIA DIRECTA ,COORDINADOR REGIONAL ,2016 ,HASTA LA ACTUALIDAD
181,0-40-2,1, , , , 
182,0-40-3,1, , , , 
183,0-40-4,1, , , , 
184,0-40-5,1,PARTIDO POLÍTICO PARTIDO NACIONALISTA PERUANO ,MILITANTE ,2014 ,2016 
185,0-41-1,1, , , , 
186,0-41-2,1,PARTIDO POLÍTICO UNION POR EL PERU ,SECRETARIO GENERAL ICA ,2000 ,2019 
187,0-41-2,2,PARTIDO POLÍTICO UNION POR EL PERU ,VICE PRESIDENTE NACIONAL ,2017 ,HASTA LA ACTUALIDAD
188,0-41-3,1, , , , 
189,0-41-4,1, , , , 
190,0-42-1,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIO REGIONAL DE ORGANIZACIÓN ,2019 ,HASTA LA ACTUALIDAD
191,0-42-2,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIA REGIONAL DE ADMINISTRACION Y FINANZAS ,2018 ,HASTA LA ACTUALIDAD
192,0-43-1,1, , , , 
193,0-43-2,1, , , , 
194,0-43-3,1, , , , 
195,0-44-1,1, , , , 
196,0-44-2,1, , , , 
197,0-44-3,1,PARTIDO SOCIALISTA DEL PERU ,SECRETARIO DE PRENSA Y PROPAGANDA ,2005 ,2014 
198,0-44-4,1,ALIANZA ELECTORAL FRENTE AMPLIO REGIONAL ,MILITANTE ,2019 ,2019 
199,0-44-5,1, , , , 
200,0-45-1,1,PARTIDO POLÍTICO PARTIDO MORADO ,FUNDADOR ,2019 ,HASTA LA ACTUALIDAD
201,0-45-1,2,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIO GENERAL REGIONAL DE UCAYALI ,2019 ,HASTA LA ACTUALIDAD
202,0-45-2,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIA GENERAL DE LA PROVINCIA DE CORONEL PORTILLO ,2019 ,HASTA LA ACTUALIDAD
203,0-45-3,1,PARTIDO POLÍTICO PARTIDO MORADO ,SECRETARIO GENERAL PROVINCIAL DE PADRE ABAD ,2019 ,HASTA LA ACTUALIDAD
204,0-46-1,1,PARTIDO POLÍTICO PERU LIBRE ,SECRETARIO GENERAL REGIONAL ,2018 ,HASTA LA ACTUALIDAD
205,0-46-2,1, , , , 
206,0-46-3,1, , , , 
207,0-46-4,1, , , , 
208,0-46-5,1, , , , 
209,0-47-1,1, , , , 
210,0-47-2,1, , , , 
211,0-47-3,1, , , , 
212,0-48-1,1, , , , 
213,0-48-2,1,PARTIDO POLÍTICO ACCION POPULAR ,SECRETARIO NACIONAL DE IDEOLOGÍA Y CULTURA ,2010 ,2011 
214,0-48-2,2,PARTIDO POLÍTICO ACCION POPULAR ,COMITÉ NACIONAL ELECTORAL - SUPLENTE ,2011 ,2015 
215,0-48-3,1, , , , 
216,0-48-4,1, , , , 
217,0-49-1,1, , , , 
218,0-50-1,1,PARTIDO POLÍTICO FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP ,COMISIÓN ELECTORAL DE MADRE DE DIOS ,2015 ,2019 
219,0-50-2,1, , , , 
220,0-50-3,1, , , , 
221,0-51-1,1, , , , 
222,0-51-2,1, , , , 
223,0-51-3,1, , , , 
224,0-52-1,1,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,PRESIDENTE DE ASOCIACIÓN DE MÉDICOS APRISTAS CEDE CALLAO ,1985 ,1986 
225,0-52-2,1,PARTIDO POLÍTICO PARTIDO APRISTA PERUANO ,SECRETARIA GENERAL DE JUVENTUDES-COMITÉ REGIONAL AYACUCHO ,2017 ,HASTA LA ACTUALIDAD
