,id_hdv,posi_rec,prev_pos_pres,prev_pos_vice1,prev_pos_vice2,prev_pos_co,prev_pos_par_an,prev_pos_gob,prev_pos_gob_vice,prev_pos_alc_prov,prev_pos_reg_prov,prev_pos_alc_dist,prev_pos_reg_dist,prev_pos_con_reg,prev_pos_acc,prev_pos_reg_cp,prev_pos_dip,prev_pos_sen,prev_pos_alc_cp,prev_org_pol,prev_start,prev_end
165,0-35-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
166,0-36-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
167,0-36-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
168,0-36-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
169,0-36-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
170,0-36-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
171,0-36-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
172,0-36-7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
173,0-37-1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL AYNI ,2011 ,2014 
174,0-37-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
175,0-37-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
176,0-38-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
177,0-38-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
178,0-38-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
179,0-39-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
180,0-39-2,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL PARA EL DESARROLLO CON SEGURIDAD Y HONRADEZ ,2015 ,2018 
181,0-39-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
182,0-39-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
183,0-39-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
184,0-39-6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
185,0-39-7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
186,0-40-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
187,0-40-2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL ACUERDO POPULAR UNIFICADO ,2011 ,2014 
188,0-40-3,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,PARTIDO POLÍTICO PERU POSIBLE ,2011 ,2014 
189,0-40-4,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL PAN ,2011 ,2014 
190,0-40-5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
191,0-41-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
192,0-41-2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,PARTIDO POLÍTICO UNION POR EL PERU ,2006 ,2011 
193,0-41-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
194,0-41-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
195,0-42-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
196,0-42-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
197,0-43-1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
198,0-43-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
199,0-43-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
200,0-44-1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,MOVIMIENTO DE UNIDAD POPULAR (MUP) ,1999 ,2010 
201,0-44-2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
202,0-44-3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
203,0-44-4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, , , 
