,id_hdv,vehi_rec,veh_type,veh_brand,veh_model,veh_year,veh_reg,veh_char,veh_val
74,0-16-4,1,CAMIONETA ,KIA ,SORENTO ,2015 ,AJR554 ,COLOR GRIS METAL ,109480.00 
75,0-16-5,1, , , , , , , 
76,0-16-6,1,CAMIONETA ,HYUNDAI ,TUCSON ,2007 ,DJ144XV ,- ,24000.00 
77,0-16-8,1,CAMIONETA ,TOYOTA ,HILUX ,2016 ,V74827 ,COLOR NEGRO ,60000.00 
78,0-16-9,1, , , , , , , 
79,0-16-11,1, , , , , , , 
80,0-16-12,1, , , , , , , 
81,0-16-13,1, , , , , , , 
82,0-16-14,1,AUTO ,NISSAN ,SUNNY ,1996 ,ALJ-620 ,COLOR PLATEADO ,11000.00 
83,0-16-15,1,AUTO ,TOYOTA ,YARIS ,2011 ,B9W-212 ,COLOR NEGRO ,23000.00 
84,0-16-16,1,CAMIONETA ,SUZUKI ,GRAND NOMADE ,2014 ,F4I 035 ,COLOR GRIS ,43680.00 
85,0-16-18,1,AUTOMOVIL ,NISSAN ,SUNNY ,1986 ,D0S 191 ,ROJO METALICO ,1800.00 
86,0-16-19,1,CAMIONETA ,TOYOTA ,PROBOX ,2014 ,C2T116 ,COLOR PLATA ,18000.00 
87,0-16-20,1,CAMION ,FREIGHTLINER ,M21 ,2011 ,XGVR32 ,BUSINESS CLASS M21 COLOR BLANCO ,133600.00 
88,0-16-20,2,CAMION ,FREIGHTLINER ,M2 ,2010 ,XGVR29 ,BUSINESS CLASS M2 COLOR BLANCO ,116900.00 
89,0-16-20,3,CAMION ,HINO ,268 ,2010 ,XGVR33 ,BUSINESS CLASS 268 COLOR BLANCO ,150900.00 
90,0-16-20,4,CAMION ,HINO ,268 ,2011 ,XGV512 ,BUSINESS CLASS 268 COLOR BLANCO ,150900.00 
91,0-16-20,5,AUTO ,HONDA ,HONDA CRV ,2011 ,G53GZG ,VAN 4X4 COLOR PLOMO ,50100.00 
92,0-16-20,6,AUTO ,JEEP ,LIBERTY ,2007 ,B50CX2 ,JEEP 4X4 COLOR ROJO ,23500.00 
93,0-16-20,7,AUTO ,VOLKSWAGEN ,JETTA ,2008 ,SR905C ,JETTA WOLFGAN EDITION COLOR NEGRO ,30060.00 
94,0-16-20,8,CAMIONETA ,FORD ,150 ,2005 ,3275LS ,CAMIONETA 4X4 COLOR BLANCO ,25000.00 
95,0-16-20,9,AUTO ,JEEP ,LIBERTY ,2012 ,X37JEJ ,4X4 COLOR PLOMO ,60000.00 
96,0-16-21,1, , , , , , , 
97,0-16-22,1, , , , , , , 
98,0-16-23,1,AUTO ,RENAULT ,LOGAN ,2015 ,ANH658 ,SEDAN BEIGE ,45000.00 
99,0-16-24,1, , , , , , , 
100,0-16-25,1,AUTO ,TOYOTA ,YARIS ,2014 ,F6N-446 ,COLOR AZUL METALICO ,56780.00 
101,0-16-26,1, , , , , , , 
102,0-16-27,1,AUTO ,HONDA ,CIVIC ,2002 ,BOZ135 ,COLOR NEGRO ,20000.00 
103,0-16-27,2,AUTO ,NISSAN ,SENTRA ,1993 ,C9W378 ,COLOR NEGRO ,10000.00 
104,0-16-28,1, , , , , , , 
105,0-16-29,1,AUTOMOVIL ,MERCEDES BENZ ,280SL ,1990 ,B7X-127 ,COLOR ROJO ,47600.00 
106,0-16-30,1, , , , , , , 
107,0-16-31,1, , , , , , , 
108,0-16-32,1,CAMIONETA ,SUZUKI ,GRAND VITARA ,2008 ,B8W226 ,COLOR ROJO ,20000.00 
109,0-16-34,1, , , , , , , 
110,0-16-35,1, , , , , , , 
111,0-17-1,1,CAMIONETA ,GREAT WALL ,WINGLE ,2012 ,F2O-741 ,COLOR BLANCO ,20000.00 
112,0-17-3,1, , , , , , , 
113,0-17-4,1, , , , , , , 
114,0-18-1,1, , , , , , , 
115,0-18-2,1, , , , , , , 
116,0-18-4,1, , , , , , , 
117,0-18-5,1, , , , , , , 
118,0-19-1,1,AUTOMOVIL ,TOYOYA ,CORONA ,2005 ,FG 1346 ,MOSTAZA ,5.00 
119,0-19-3,1, , , , , , , 
120,0-19-4,1,CAMIONETA ,VOLKSWAGEN CROS -FOX 2015 ,CROSS-FOX ,2015 ,X3J-364 ,PLOMO PLATEADO ,65867.58 
121,0-19-5,1, , , , , , , 
122,0-20-1,1,AUTO ,TOYOTA ,COROLLA ,1998 ,W2P 282 ,ROJO ,20000.00 
123,0-20-1,2,AUTO ,TOYOTA ,COROLLA ,1999 ,A3K-689 ,BLANCO ,20000.00 
124,0-20-1,3,CAMIONETA ,TOYOTA ,FORTUNER ,2010 ,A51-464 ,NEGRO ,81200.00 
125,0-20-2,1, , , , , , , 
126,0-20-3,1, , , , , , , 
127,0-21-1,1, , , , , , , 
128,0-21-2,1,MOTOCICLETA ,HONDA ,WAVE ,2000 ,U25714 ,COLOR ROJO ,1000.00 
129,0-21-2,2,MOTOCICLETA ,HONDA ,WAVE ,2011 ,931371 ,COLOR ROJO ,1500.00 
130,0-21-2,3,MOTOCICLETA ,HONDA ,XR 150 ,2015 ,40775W ,COLOR ROJO ,5000.00 
131,0-21-2,4,MOTOCICLETA ,HONDA ,XR150L ,2016 ,491610 ,COLOR BLANCO ,4500.00 
132,0-21-2,5,MOTOCICLETA ,HONDA ,CGL125 ,2016 ,NI32976 ,COLOR ROJO ,4500.00 
133,0-21-2,6,MOTOCICLETA ,HONDA ,CGL125 ,2014 ,74987W ,MOTOCAR AZUL PLATA ,4500.00 
134,0-21-2,7,MOTOCICLETA ,HONDA ,CB125 ,2010 ,11164AU ,COLOR ROJO PLATA ,2500.00 
135,0-21-3,1, , , , , , , 
136,0-22-1,1, , , , , , , 
137,0-22-2,1, , , , , , , 
138,0-22-3,1, , , , , , , 
139,0-23-1,1,CAMIONETA ,NISSAN ,ST. WAGON ,1997 ,SF-2795 ,TRANSMISION MECANICA ,8000.00 
140,0-23-1,2,CAMIONETA ,HYUNDAI ,MATRIX ,2004 ,AOY-393 ,TRANSMISION AUTOMATICA ,12000.00 
141,0-23-1,3,MOTO LINEAL ,RTM ,RTM-100-3 ,2008 ,Y27531 ,SEMIAUTOMATICA ,2000.00 
142,0-23-2,1, , , , , , , 
143,0-23-3,1, , , , , , , 
144,0-23-4,1,CAMIONETA ,TOYOTA ,RAV4 ,2008 ,B8F116 ,TRANSMISION MECANICA ,40000.00 
145,0-24-1,1, , , , , , , 
146,0-24-2,1, , , , , , , 
147,0-24-3,1, , , , , , , 
148,0-24-4,1, , , , , , , 
149,0-26-1,1, , , , , , , 
150,0-26-2,1, , , , , , , 
151,0-26-3,1, , , , , , , 
152,0-26-4,1, , , , , , , 
153,0-26-5,1, , , , , , , 
154,0-26-6,1,AUTO ,TOYOTA ,YARIS ,2016 ,P2U387 ,BLANCO ,46000.00 
155,0-26-6,2,CAMIONETA ,TOYOTA ,HILUX ,2017 ,P3U748 ,GRIS METALICO ,125000.00 
156,0-26-7,1, , , , , , , 
157,0-27-1,1,AUTOMOVIL ,VOLVO ,244-GL ,1982 ,CH5671 ,COLOR GUINDA ,6000.00 
158,0-27-2,1,CAMIONETA ,MITSUBISHI ,L-200 ,2013 ,F3Z897 ,PICK UP ,15000.00 
159,0-27-2,2,CAMIONETA ,TOYOTA ,LAND CRUISER ,2000 ,F8V643 ,4X4 ,10000.00 
160,0-27-2,3,AUTOMOVIL ,CHEVROLTE ,SPARK ,2011 ,B9F177 ,CELESTE ,6500.00 
161,0-27-2,4,MOTOCICLETA ,HONDA ,CB 125 ,1986 ,MB5539 ,ROJA ,500.00 
162,0-27-3,1, , , , , , , 
163,0-27-4,1,OMNIBUS ,INTERNATIONAL ,1853FC ,1982 ,V6A300 ,COLOR BLANCO AZUL ROJO ,10000.00 
164,0-27-4,2,COMBI PANEL ,TOYOTA ,TOWN ACE DX ,1999 ,V6W915 ,COLOR BLANCO ,6000.00 
165,0-27-6,1,AUTOMOVIL ,SEDAN ,BERLINA ,1967 ,V1H127 ,COLOR GUINDA ,2000.00 
166,0-28-1,1,CAMIONETA ,TOYOTA ,LAND CRUSIER PRADO ,2011 ,B9B387 ,COLOR NEGRO ,83500.00 
167,0-28-2,1,CAMIONETA ,FORD ,F150 ,2014 ,AEC789 ,B1 COMB - GLP -RAPTOR SVT - COLOR NEGRO ,132000.00 
168,0-28-2,2,AUTO ,PORSHE ,COUPE ,2011 ,AOC-489 ,GASOLINA COLOR GRIS ,132000.00 
169,0-28-2,3,MOTOCICLETA ,YAMAHA ,AF115S ,2013 ,01682B ,GASOLINA MARRON BEIGE ,2500.00 
170,0-28-2,4,CAMIONETA ,TOYOTA ,HINGLANDER ,2013 ,F5T078 ,GASOLINA GRIS OSCURO METALICO ,45000.00 
171,0-28-2,5,CAMIONETA ,SUZUKI ,APV GL ,2009 ,COC661 ,GASOLINA 4X2 COLOR PLATA ,15000.00 
172,0-28-3,1,CAMIONETA ,HONDA ,PILOT ,2013 ,D4W595 ,NEGRO ,60000.00 
173,0-28-3,2,AUTO ,FORD ,ECOSPORT ,2014 ,ABE455 ,BEIGE ,35000.00 
174,0-29-1,1, , , , , , , 
175,0-29-2,1,MOTO ,MENTELLO MOTORS ,TM200GY-11 ,2011 ,Y25288 ,AZUL ,2000.00 
176,0-29-3,1, , , , , , , 
177,0-30-1,1,AUTO ,TOYOTA ,YARIS ,2013 ,X2R 258 ,COLOR ROJO METALICO ,55000.00 
178,0-30-3,1, , , , , , , 
179,0-30-4,1, , , , , , , 
180,0-30-5,1, , , , , , , 
181,0-31-1,1, , , , , , , 
182,0-31-2,1, , , , , , , 
183,0-31-3,1, , , , , , , 
184,0-31-4,1, , , , , , , 
185,0-31-5,1,SUV ,FORD ,ECOSPORT ,2017 ,T4M-415 ,X ,45000.00 
186,0-31-6,1,AUTOMOVIL ,SUZUKI ,SWIFT ,2015 ,M2Q452 ,BLANCO ,20160.00 
187,0-32-1,1, , , , , , , 
188,0-32-2,1,HAMMER ,HAMMER ,H2 ,2006 ,T1F 359 ,COLOR VERDE ,65000.00 
189,0-32-3,1,JEEP CHEROKEE ,JEEP ,CHEROKEE ,1987 ,D4R 201 ,COLOR VERDE ,15000.00 
190,0-32-4,1,CAMIONETA ,NISSAN ,NISSAN ,2018 ,AYJ 944 ,BUEN ESTADO ,105000.00 
191,0-32-5,1, , , , , , , 
192,0-32-6,1, , , , , , , 
193,0-32-7,1, , , , , , , 
194,0-33-2,1, , , , , , , 
195,0-33-3,1, , , , , , , 
196,0-34-1,1,MOTOCICLETA ,TUS-APACHE RTR ,RTR-2010 ,2010 ,S24851 ,BLANCO ,6768.00 
197,0-34-1,2,MOTOCICLETA ,LINGKEN ,110 ,2010 ,S15405 ,AZUL ,2300.00 
198,0-34-1,3,MOTOCICLETA ,SYM ,X5125-7B ,2003 ,MX18672 ,ROJO ,1350.00 
199,0-34-1,4,MOTOCICLETA ,TUS-APACHE ,RTR ,2010 ,MX60167 ,NEGRO ,6450.00 
200,0-34-1,5,MOTOCICLETA ,SKYMOTO ,SK-110PY ,2010 ,S344408 ,ROJO ,2900.00 
201,0-34-2,1,MOTO ,HONDA ,NF100WAVE ,2013 ,03113S ,NEGRO PERLADO ,4000.00 
202,0-34-3,1,MOTO ,ZONGHEN ,25110-9 ,2011 ,S50230 ,PLOMO ,3500.00 
203,0-34-4,1,AUTO ,NISSAN ,VERSA ,2017 ,BBW352 ,PLATA ,40000.00 
204,0-35-1,1, , , , , , , 
205,0-35-2,1,MOTO LINEAL ,PULSAR ,BAJAJ ,2010 ,49281W ,COLOR ROJO ,5000.00 
206,0-35-3,1, , , , , , , 
207,0-36-1,1, , , , , , , 
208,0-36-2,1, , , , , , , 
209,0-36-3,1, , , , , , , 
210,0-36-4,1, , , , , , , 
211,0-36-5,1, , , , , , , 
212,0-36-6,1, , , , , , , 
213,0-36-7,1, , , , , , , 
214,0-37-1,1,CAMIONETA ,TOYOTA ,FORTUNER ,2017 ,X4D - 091 ,PLOMO METÁLICO ,120000.00 
215,0-37-2,1,CAMIONETA RURAL ,TOYOTA ,RAV4 2.0 4X2 MT ,2018 ,W4H-404 ,NEGRO METALICO ,85000.00 
216,0-37-3,1, , , , , , , 
217,0-38-1,1, , , , , , , 
218,0-38-2,1,MOTO ,SUZUKI ,SUZUKI ,2018 ,88454L ,2 LLANTAS ,6000.00 
219,0-38-3,1, , , , , , , 
220,0-39-1,1,AUTO ,RENAULT ,LOGAN ,2011 ,M1V-193 ,SEDAN CUATRO PUERTAS COLOR GRIS DORADO ,27000.00 
221,0-39-2,1,MOTOCICLETA ,PIAGGIO ,TYPHOON ,1997 ,NO-1586 ,VERDE ,2000.00 
222,0-39-3,1,AUTO ,GREAT WALL C-30 ,C-30 ,2014 ,T2G-018 ,ROJO-CUATRO PUERTAS ,25000.00 
223,0-39-4,1, , , , , , , 
224,0-39-5,1, , , , , , , 
225,0-39-6,1, , , , , , , 
226,0-39-7,1,AUTO ,HYUNDAI ,ACCENT ,2015 ,T3N ,ROJO- CUATRO PUERTAS 2 EJES ,30000.00 
227,0-40-1,1,CAMIONETA ,MITSUBISHI ,L200 ,2012 ,X2S854 ,CAMIONETA PICKUP ,45000.00 
228,0-40-2,1, , , , , , , 
229,0-40-3,1,CAMIONETA ,TOYOTA ,HILUX ,2015 ,X3W738 ,CAMIONETA RURAL ,90000.00 
230,0-40-4,1,MINIEPV ,SUSUKI ,ERTIGA ,2019 ,BML536 ,AUTO ,62496.20 
231,0-40-5,1,CAMIONETA ,SUSUKI ,GRAND NOMADE ,2013 ,X1V545 ,CAMIONETA RURAL ,33500.00 
232,0-41-1,1, , , , , , , 
233,0-41-2,1,CAMIONETA ,KIA ,SPORTAGE ,2010 ,A34-439 ,CAMIONETA ,25000.00 
234,0-41-2,2,CAMIONETA ,TOYOTA ,LANA CRISAR ,2010 ,A54-044 ,CAMIONETA ,50000.00 
235,0-41-3,1, , , , , , , 
236,0-41-4,1, , , , , , , 
237,0-42-1,1,CAMIONETA ,NISSAN ,NAVARA ,2009 ,A2V824 ,"COLOR GRIS, COMBUSTIBLE DIESEL ",50000.00 
238,0-42-2,1, , , , , , , 
