,id_hdv,vehi_rec,veh_type,veh_brand,veh_model,veh_year,veh_reg,veh_char,veh_val
309,0-63-3,2,MOTO ,PACIF ,DAX 110 ,2013 ,Z37871 ,COLOR ROJO ,1000.00 
310,0-63-4,1,MOTO ,YAMASAKA ,BRAHO 250 ,2009 ,Z10352 ,COLOR ROJO ,2500.00 
311,0-63-5,1,FURGONETA ,CHEVROLET ,N300 ,2019 ,V9T026 ,COLOR / BEIGE CREAM ,39874.32 
312,0-64-1,1,MOTOCICLETA ,HONDA ,NF 100 WAVE ,2010 ,L20235 ,COLOR ROJO RUBI ,2900.00 
313,0-64-1,2,MOTOCICLETA ,HONDA ,ELITE 125 ,2007 ,NY79501 ,COLOR PLATA ,4300.00 
314,0-64-1,3,MOTOCICLETA ,HONDA ,BIZ ,2005 ,MY67321 ,COLOR VERDE ,600.00 
315,0-64-2,1,MOTOCICLETA ,MAVILA ,ELEGANCE 110 ,2010 ,L12956 ,COLOR NEGRO ,2000.00 
316,0-64-3,1, , , , , , , 
317,0-64-4,1,AUTO ,SUZUKI ,SUZUKI NEW VITARA ,2018 ,BEJ309 ,COLOR BLANCO ,26000.00 
318,0-64-4,2,AUTO ,MAZDA ,CX-3 ,2018 ,BBX565 ,COLOR ROJO ,25000.00 
319,0-64-4,3,MOTOCICLETA ,JINCHENG ,150 ,2001 ,MY64673 ,COLOR NEGRO ,3000.00 
320,0-64-4,4,MOTOCICLETA ,SUZUKI ,GN 125H ,2008 ,MY94417 ,COLOR NEGRO ,2800.00 
321,0-65-1,1,CAMIONETA ,NISSAN ,FRONTIER ,2008 ,M1J-810 ,CAMIONETA ,42000.00 
322,0-65-1,2,CAMIONETA ,NISSAN ,GRAND NOMADE ,2003 ,C3V-296 ,CAMIONETA ,24200.00 
323,0-65-1,3,CAMIONETA ,NISSAN ,FRONTIER ,2006 ,T4P-908 ,CAMIONETA ,36000.00 
324,0-65-1,4,CAMIONETA ,NISSAN ,FRONTIER ,2012 ,D3S-797 ,CAMIONETA ,44000.00 
325,0-65-1,5,CAMIONETA ,MITSUBISHI ,L200 ,2012 ,D8J-891 ,CAMIONETA ,45000.00 
326,0-65-2,1, , , , , , , 
327,0-65-4,1, , , , , , , 
328,0-65-5,1, , , , , , , 
329,0-65-6,1, , , , , , , 
330,0-65-7,1, , , , , , , 
331,0-66-1,1, , , , , , , 
332,0-66-2,1, , , , , , , 
333,0-66-3,1, , , , , , , 
334,0-67-1,1, , , , , , , 
335,0-67-2,1, , , , , , , 
336,0-67-3,1, , , , , , , 
337,0-67-4,1, , , , , , , 
338,0-68-1,1,CAMIONETA ,MAZDA ,PICKUP ,2019 ,BAO732 ,BLANCO ,80126.60 
339,0-68-2,1,CAMION ,ISUZU ,NLR3TON ,2019 ,BAW803 ,COLOR BLANCO ,95414.80 
340,0-68-3,1,AUTO MOVIL ,NISSAN ,SANNY ,2003 ,ANP-440 ,COLOR BLANCO ,20000.00 
341,0-68-4,1, , , , , , , 
342,0-69-1,1,CAMIONETA RURAL ,NISSAN ,PATROL ,1985 ,A0D282 ,BLANCO ,23000.00 
343,0-69-1,2,AUTO ,LADA ,SEDAN ,1991 ,A0D286 ,CREMA ,6500.00 
344,0-69-2,1, , , , , , , 
345,0-69-3,1, , , , , , , 
346,0-69-4,1, , , , , , , 
347,0-70-1,1, , , , , , , 
348,0-70-2,1,CAMIONETA ,MERCEDES BENZ ,GLE-43 ,2016 ,ASX052 ,AUTOMATICA ,225000.00 
349,0-70-3,1,CAMIONETA ,TOYOTA ,LAND CROISER ,2013 ,F1U192 ,MECANICA ,71500.00 
350,0-70-5,1,AUTO ,NISSAN ,SUNNY ,2001 ,CGC648 ,MECANICO ,16500.00 
351,0-70-5,2,AUTO ,WOLSWAGEN ,ESCARABAJO ,1987 ,0 ,MECANICO ,6000.00 
352,0-71-1,1,MOTOCICLETA ,WANXIN ,WX150 ,2015 ,6524 QM ,MOTO LINEAL NEGRA ,3000.00 
353,0-71-2,1, , , , , , , 
354,0-71-5,1, , , , , , , 
355,0-72-1,1, , , , , , , 
356,0-72-2,1,CAMIONETA ,HYUNDAI ,TUCSON ,2018 ,V9G-555 ,COLOR ,93800.00 
357,0-72-3,1,AUTOMOVIL ,MAZDA ,3 ,2007 ,ALR-117 ,COLOR PLOMO ,21000.00 
358,0-72-3,2,COMBI ,ISUZU ,ELF ,1986 ,V3Q-596 ,COLOR CAFE ,5000.00 
359,0-75-1,1,CAMIONETA ,BAICYINXIANG ,KEMBO S6 ,2016 ,V8M154 ,COLOR ROJO ,50000.00 
360,0-75-1,2,MOTO ,JINCO ,RTM200 ,2005 ,V24428 ,NEGRO ,5000.00 
361,0-75-2,1, , , , , , , 
362,0-75-3,1, , , , , , , 
363,0-75-4,1, , , , , , , 
364,0-75-5,1,AUTO ,SUZUKI ,ALTO ,2008 ,X1S230 ,COLOR ROJO ,12000.00 
365,0-75-6,1, , , , , , , 
366,0-76-2,1,AUTO SEDAN ,VW ,ESCARABAJO ,1983 ,D3U-244 ,COLOR BLANCO PERLA ,2000.00 
367,0-76-2,2,AUTO STATION WAGON ,TOYOTA ,COROLLA ,1993 ,D2Q-370 ,COLOR BLANCO ,3500.00 
368,0-76-3,1, , , , , , , 
369,0-76-5,1, , , , , , , 
370,0-77-1,1, , , , , , , 
371,0-77-2,1,MOTOCICLETA ,MAVILA ,ARES ,2013 ,36083U ,COLOR NEGRO ,
372,0-77-2,2,MOTOCICLETA ,HONDA ,WAVE 110 ,2014 ,74173U ,COLOR NEGRO ,
373,0-77-2,3,CAMIONETA ,TOYOTA ,RAV 4 ,2015 ,U16189 ,COLOR BLANCO PERLA ,
374,0-77-3,1, , , , , , , 
375,0-78-1,1,AUTOMOVIL ,HYUNDAY ELANTRA ,SEDAN ,2012 ,C4N131 ,COLOR PLOMO ,36000.00 
376,0-78-2,1,CAMIONETA ,TOYOTA ,HILUX ,2015 ,T70-807 ,COLOR NEGRA 4 X 2 ,80000.00 
377,0-78-3,1, , , , , , , 
378,0-79-2,1,CAMIONETA ,FORD ,RANGER ,2006 ,Z1X868 ,COLOR NEGRO ,36000.00 
379,0-79-2,2,AUTOMOVIL ,TOYOTA ,COROLLA ,2007 ,A7P549 ,COLOR NEGRO ,27000.00 
380,0-79-2,3,MOTOCICLETA ,HONDA ,XR650L ,2006 ,Z37611 ,COLOR ROJO ,15000.00 
381,0-79-2,4,MOTOCICLETA ,MACH-VENTUS ,VT110-NOTUS ,2007 ,MJ2225 ,COLOR AZUL ,1500.00 
382,0-79-3,1,MINI VAN ,NISSAN ,VANETE ,1987 ,RGJ561 ,MECÁNICO ,2000.00 
383,0-79-3,2,CAMIONETA ,DAEWOO ,MUSSO ,2001 ,D6I292 ,AUTOMÁTICA ,13400.00 
384,0-80-1,1, , , , , , , 
385,0-80-3,1, , , , , , , 
386,0-81-1,1, , , , , , , 
387,0-81-2,1, , , , , , , 
388,0-81-3,1,AUTO ,SUBARU ,SEDAN ,2004 ,V1P287 ,COLOR BLANCO ,4000.00 
389,0-81-4,1, , , , , , , 
390,0-82-3,1, , , , , , , 
391,0-83-2,1,OMNIBUS ,VOLKSWAGEN ,G-150 ,2007 ,C1U-455 ,AMARILLO ,100000.00 
392,0-83-2,2,OMNIBUS ,YUTONG ,2KG83TKE ,2008 ,H2D-963 ,AMARILLO ,95000.00 
393,0-83-2,3,OMNIBUS ,VOKSWAGEN ,CRAFTER ,2013 ,H2P-961 ,AMARILLO ,120000.00 
394,0-83-2,4,OMNIBUS ,MERCEDES BENZ ,SPRINTER ,2006 ,H2E-954 ,AMARILLO ,50000.00 
395,0-83-2,5,CAMIONETA ,CHEVROLET ,TRAKERS ,2014 ,H1V-025 ,AZUL ELECTRICO BORROCA ,50000.00 
396,0-83-2,6,MOTOCICLETA LINEAL ,ITALIKA ,R1200 ,2013 ,4575IH ,NEGRO ,9000.00 
397,0-83-2,7,OMNIBUS ,MERCEDES BENZ ,1318 ,2010 ,A5D-962 ,AMARILLO ,18000.00 
398,0-83-3,1, , , , , , , 
399,0-83-5,1, , , , , , , 
400,0-84-1,1,AUITOMOVIL ,HEVROLET SAIL 2018 ,SAIT 2018 ,2018 ,BBR 465 ,COLOR NEGRO ,43000.00 
401,0-84-2,1, , , , , , , 
402,0-84-3,1,CAMIONETA SUV ,FORD ,ESCAPE ,2011 ,B0P306 ,COLOR GRIS ,33000.00 
403,0-84-4,1, , , , , , , 
404,0-85-1,1, , , , , , , 
405,0-85-2,1, , , , , , , 
406,0-85-3,1,AUTO ,SUBARU ,IMPREZA ,2017 ,V8H 411 ,GRIS PLATA ,52800.00 
407,0-85-3,2,AUTO ,RENAULT ,LOGAN ,2016 ,AAD 321 ,ROJO FUEGO ,23200.00 
408,0-85-4,1,AUTO ,TOYOTA ,SEDAN ,1980 ,CV 2195 ,BLANCO ,2000.00 
409,0-85-5,1, , , , , , , 
410,0-85-6,1, , , , , , , 
411,0-86-2,1, , , , , , , 
412,0-86-3,1,AUTO ,TOYOTA ,PASSO ,2008 ,A7M-439 ,MARRON ,15500.00 
413,0-87-1,1, , , , , , , 
414,0-87-2,1, , , , , , , 
415,0-87-3,1, , , , , , , 
416,0-87-4,1, , , , , , , 
417,0-87-5,1,CAMIONETA ,KIA ,SPORTAGE ,2016 ,T2A - 1O5 ,COLOR ROJA ,45000.00 
418,0-87-6,1, , , , , , , 
419,0-87-7,1, , , , , , , 
420,0-88-1,1, , , , , , , 
421,0-88-2,1, , , , , , , 
422,0-89-1,1,CARRO ,KIA ,SPORTAGE ,2012 ,C9T562 ,CAMIONETA ,55000.00 
423,0-89-2,1,CAMIONETA SUV ,GREAT WALL ,HAVAL H3 ,2013 ,D4E-411 ,COLOR NEGRO ,65486.40 
424,0-89-3,1, , , , , , , 
425,0-95-2,1,AUTOMOVIL ,SUZUKI ,SWIFT ,2011 ,M1Y320 ,"COLOR:PLATA, MECÁNICO ",20070.00 
426,0-95-2,2,CAMIONETA ,WOLKSWAGEN ,AMAROK ,2010 ,M2Z915 ,"COLOR:BLANCO,MECANICO ",33450.00 
427,0-95-3,1,AUTOMOVIL ,NISSAN ,PULSAR ,1982 ,BK-2895 ,COLOR:NEGRO-MECÁNICO ,10000.00 
428,0-95-4,1, , , , , , , 
429,0-95-5,1, , , , , , , 
430,0-95-6,1,AUTOMOVIL ,PEUGEOT ,205 GR ,1993 ,F6D235 ,COLOR BEIGE MAYFAIR METÁLICO ,6000.00 
431,0-95-6,2,MOTO ,SUMO ,X-TORQUE 250 ,2012 ,17276M ,COLOR NEGRO ,2000.00 
432,0-96-1,1,CAMIONETA ,JEEP ,GRAND CHEROKEE ,2016 ,ASD 223 ,COLOR AZUL ,175000.00 
433,0-96-2,1, , , , , , , 
434,0-96-3,1,MOTO LINEAL ,HONDA ,ELITE-125 ,2011 ,W4-2494 ,COLOR ROJO/CATEGORÍA L 3 ,3000.00 
435,0-96-4,1, , , , , , , 
436,0-97-2,1,AUTOMOVIL ,VOLKSWAGEN ,JETTA ,1992 ,BO7311 ,COLOR ROJO ,5000.00 
437,0-97-3,1,AUTOMOVIL ,MAZDA ,6 ,2018 ,BJE056 ,COLOR ROJO ,92300.00 
438,0-97-4,1, , , , , , , 
439,0-97-5,1,CAMIONETA RURAL ,BMW ,X5 ,2015 ,AIW287 ,COLOR BLANCO ,160500.00 
440,0-97-5,2,CAMIONETA RURAL ,VOLVO ,C90 ,2019 ,BJB582 ,COLOR NEGRO ,175000.00 
441,0-97-6,1, , , , , , , 
442,0-97-7,1,CAMIONETA ,TOYOTA ,PRADO VX ,2012 ,C7H184 ,COLOR AZUL ,71190.00 
443,0-97-9,1,AUTOMOVIL ,MERCEDES BENZ ,E200 ,2017 ,AXP549 ,COLOR MARRON ,150000.00 
444,0-97-10,1, , , , , , , 
445,0-97-11,1, , , , , , , 
446,0-97-12,1,CAMIONETA ,HONDA ,PILOT ,2010 ,B1D012 ,COLOR GRIS POLICEL ,48500.00 
447,0-97-12,2,AUTOMOVIL ,MERCEDES BENZ ,E320 ,2006 ,RGR134 ,COLOR CHAMPAGNE METALICO ,30000.00 
448,0-97-13,1, , , , , , , 
449,0-97-14,1, , , , , , , 
450,0-97-16,1, , , , , , , 
451,0-97-17,1,AUTOMOVIL ,RENAULT ,FLUENCE ,2014 ,ADC-405 ,GRIS MARS ,60680.00 
452,0-97-18,1,AUTO ,MINI ,HATCH ,2016 ,ARV 618 ,ROJO ,75000.00 
453,0-97-18,2,AUTO ,HONDA ,ACCORD ,2010 ,A8K 564 ,PLATA ,35000.00 
454,0-97-18,3,CAMIONETA RURAL ,FORD ,EXPLORER ,2001 ,RQD 798 ,VERDE ,25000.00 
455,0-97-18,4,AUTO ,HONDA ,CIVIC ,1997 ,APL 448 ,GRIS OSCURO ,15000.00 
456,0-97-19,1,CAMIONETA ,TOYOTA ,4 RUNNER ,2013 ,D5Q 250 ,COLOR PLATA ,65000.00 
457,0-97-20,1,CAMIONETA ,KIA ,SORENTO ,2012 ,C7R 194 ,BLANCO ,65000.00 
458,0-97-20,2,AUTOMOVIL ,SUZUKI ,BALENO ,2018 ,BES 167 ,AZUL ,50000.00 
459,0-97-23,1,CAMIONETA ,TOYOTA ,RAV 4 ,2016 ,ATJ 666 ,NEGRO ,90000.00 
460,0-97-25,1,CAMIONETA ,TOYOTA ,RAV 4 ,2018 ,BFM 515 ,NEGRO ,102000.00 
461,0-97-25,2,AUTO ,CHEVROLET ,SAIL ,2016 ,AWN 116 ,NEGRO ,42000.00 
462,0-97-26,1,AUTOMOVIL ,MERCEDES BENZ ,GL200 ,2014 ,AMM206 ,COLOR BLANCO ,84000.00 
463,0-97-27,1,AUTO ,LADA ,STATION WAGON ,1993 ,TI4287 ,AMARILLO ,3000.00 
464,0-97-27,2,CAMIONETA ,DATSUN ,PICKUP ,1973 ,PQ1026 ,PLOMO ,2000.00 
465,0-97-27,3,AUTO ,TOYOTA ,TERCEL ,1996 ,AII399 ,PLOMO PLATA ,0.00 
466,0-97-27,4,CAMIONETA ,TOYOTA ,PICKUP ,2010 ,A4Q857 ,BLANCO ,53600.00 
467,0-97-27,5,CAMIONETA ,SUZUKI ,GRAND NOMADE ,2013 ,F3Z245 ,MARRON ,40200.00 
468,0-97-28,1, , , , , , , 
469,0-97-29,1, , , , , , , 
470,0-97-30,1, , , , , , , 
471,0-97-31,1, , , , , , , 
472,0-97-32,1, , , , , , , 
473,0-97-33,1, , , , , , , 
474,0-97-34,1, , , , , , , 
475,0-97-35,1, , , , , , , 
476,0-97-36,1,AUTOMOVIL ,TOYOTA ,YARIS ,2017 ,AXB597 ,COLOR NEGRO ,55000.00 
477,0-97-36,2,AUTOMOVIL ,TOYOTA ,YARIS ,2017 ,AXF120 ,COLOR NEGRO ,55000.00 
478,0-97-36,3,AUTOMOVIL ,TOYOTA ,YARIS ,2017 ,AXI028 ,COLOR NEGRO ,55000.00 
479,0-98-1,1, , , , , , , 
480,0-98-2,1, , , , , , , 
481,0-98-4,1,CAMIONETA ,TOYOTA ,HI LXU ,2013 ,Z4U740 ,4X4 ,70000.00 
482,0-98-5,1,01 ,VW ,AUTO ,2010 ,B3V192 ,AUTO ,25000.00 
483,0-99-1,1,CAMIONETA ,MITSUBISHI ,MONTERO ,2008 ,M3K-490 ,SUV ,40000.00 
484,0-99-1,2,MOTO ,M53729 ,WX200GY-8 ,2008 ,M53729 ,LINEAL ,2000.00 
485,0-99-2,1,CAMIONETA ,KIA ,SORENTO ,2015 ,AH1109 ,SUV ,
486,0-99-3,1,CAMIONETA ,HYUNDAI ,TUCSON ,2015 ,M3X-021 ,SUV ,90000.00 
487,0-99-4,1, , , , , , , 
488,0-99-5,1, , , , , , , 
489,0-100-1,1,CAMIONETA ,WOLSVAGEN ,AMAROK ,2011 ,C2L860 ,COLOR NEGRO ,45000.00 
490,0-100-3,1, , , , , , , 
491,0-100-4,1,AUTO ,NISSAN ,NISSAN SUPER SALON ,1993 ,W1C435 ,COLOR PLOMO ,12000.00 
492,0-100-5,1,AUTO ,HIUNDAY ,ONATA ,2003 ,W2X251 ,AMARILLO ,12000.00 
493,0-101-1,1, , , , , , , 
494,0-101-2,1, , , , , , , 
495,0-101-3,1, , , , , , , 
496,0-101-4,1, , , , , , , 
497,0-102-1,1, , , , , , , 
498,0-102-2,1, , , , , , , 
499,0-102-3,1, , , , , , , 
500,0-103-1,1,CAMIONETA ,NISSAN ,MURANO ,2010 ,A14-053 ,"CAMIONETA CERRADA, CHAMPAGNE ",74800.00 
501,0-103-1,2,AUTOMOVIL ,TOYOTA ,YARIS ,2014 ,H1H-584 ,"4 PUERTAS, PLOMO ",47600.00 
502,0-103-1,3,AUTOMOVIL ,HYUNDAI ,EON ,2013 ,H1K-223 ,"4 PUERTAS, NEGRO ",25500.00 
503,0-103-2,1, , , , , , , 
504,0-103-4,1,AUTOMOVIL ,NISSAN ,SENTRA ,2015 ,AHR-306 ,"MECANICO, MOTOR 1800, COLOR ARENA ",40000.00 
505,0-103-5,1,AUTOMOVIL ,TOYOTA ,YARIS ,2013 ,H1I-366 ,COLOR GRIS BRONCE ,38000.00 
506,0-104-1,1, , , , , , , 
507,0-104-3,1, , , , , , , 
508,0-104-4,1, , , , , , , 
509,0-104-5,1,CAMIONETA ,SUSUKI ,GRAN NOMADE ,2014 ,F4Z561 ,- ,60000.00 
510,0-104-5,2,AUTOMOVIL ,CHEVROLET ,CAVALIER ,1988 ,- ,- ,5000.00 
511,0-104-7,1, , , , , , , 
512,0-104-8,1,AUTO MOVIL ,TOYOTA ,YARIS ,2011 ,B9B038 ,NEGRO METALICO ,30150.00 
513,0-104-9,1, , , , , , , 
514,0-104-11,1, , , , , , , 
515,0-104-12,1, , , , , , , 
516,0-104-13,1, , , , , , , 
517,0-104-14,1, , , , , , , 
518,0-104-15,1, , , , , , , 
519,0-104-17,1,AUTO MOVIL ,TOYOTA ,YARIS ,2017 ,AUM373 ,NEGRO METALICO ,38000.00 
520,0-104-18,1, , , , , , , 
521,0-104-19,1,CAMIONETA ,KIA ,SPORTAGE ,2011 ,B95-539 ,- ,41900.00 
522,0-104-19,2,AUTOMOVIL ,CHEVROLET ,CORSA ,1995 ,AGE-6621 ,- ,8700.00 
523,0-104-19,3,AUTOMOVIL ,HYUNDAI ,H1M/BUS ,2011 ,B2J481 ,GRIS ,33900.00 
524,0-104-20,1, , , , , , , 
525,0-104-21,1, , , , , , , 
526,0-104-23,1, , , , , , , 
527,0-104-24,1, , , , , , , 
528,0-104-25,1, , , , , , , 
529,0-104-26,1,AUTO ,HYUNDAI ,GRAND I-10 ,2014 ,ABL-468 ,- ,27040.00 
530,0-104-26,2,AUTO ,HYUNDAI ,ELANTRA ,2005 ,- ,- ,10000.00 
531,0-104-27,1,AUTO ,TOYOTA ,VITZ ,2004 ,CIT-047 ,PLATA ,13400.00 
532,0-104-27,2,AUTO ,HONDA ,FIT ,2003 ,CIS-116 ,PLATA ,18500.00 
533,0-104-28,1, , , , , , , 
534,0-104-29,1,CAMIONETA ,HONDA ,CR-V ,2014 ,AHM034 ,NEGRO CRYSTAL ,64000.00 
535,0-104-30,1, , , , , , , 
536,0-104-34,1, , , , , , , 
537,0-104-36,1, , , , , , , 
538,0-105-1,1, , , , , , , 
539,0-105-2,1,MOTOCICLETA ,HONDA ,XR125L ,2013 ,1527-1H ,PASEO ,8000.00 
540,0-105-2,2,CAMIONETA ,CHEVROLET ,BLAZER ,1985 ,A7A - 228 ,RURAL ,10000.00 
541,0-105-3,1, , , , , , , 
542,0-106-1,1, , , , , , , 
543,0-106-2,1,MINIVAN ,HAFEI ,XINYI ,2011 ,B4B150 ,COLOR PLATEADO ,24750.00 
544,0-106-3,1,CAMIONETA ,HYUNDAI ,TUCSON ,2012 ,D3H547 ,COLOR GUINDA ,84447.00 
545,0-106-3,2,MOTO ,JCE ,SCOOTER ,2017 ,2308GA ,COLOR NEGRO ,3500.00 
546,0-106-3,3,AUTO ,TOYOTA ,COROLLA ,2018 ,BDI539 ,COLOR NEGRO ,57285.00 
547,0-106-3,4,CAMIONETA ,RENAULT ,DUSTER ,2017 ,AIK-532 ,COLOR MARRON NOGAL ,39520.00 
548,0-106-4,1, , , , , , , 
549,0-107-1,1, , , , , , , 
550,0-107-2,1, , , , , , , 
551,0-107-3,1, , , , , , , 
552,0-107-4,1, , , , , , , 
553,0-107-5,1, , , , , , , 
554,0-107-6,1, , , , , , , 
555,0-107-7,1, , , , , , , 
556,0-108-1,1, , , , , , , 
557,0-108-3,1,AUTOMOVIL ,NISSAN ,TIDA 2011 ,2011 ,B24-344 ,-- ,15000.00 
558,0-108-5,1, , , , , , , 
559,0-108-6,1, , , , , , , 
560,0-108-7,1,AUTO ,DAEWOO ,PRINCE ,1990 ,AML523 ,NEGRO ,5000.00 
561,0-109-1,1,CAMIONETA ,FORD ,EXPLORER LIMITED 4X4 ,2018 ,AFW383 ,NEGR0 ,196615.50 
562,0-109-1,2,AUTO ,VOLVO ,AUTOMATICO S60 ,2008 ,M1E925 ,PLATA ,42137.00 
563,0-109-2,1, , , , , , , 
564,0-109-3,1,AUTO ,TOYOTA ,COROLLA ,2015 ,FQ9105 ,BEIGE ,15000.00 
565,0-109-4,1, , , , , , , 
566,0-109-5,1, , , , , , , 
567,0-110-1,1,AUTOMÓVIL ,HONDA ,CIVIC ,2012 ,C8T 121 ,COLOR NEGRO ,87000.00 
568,0-110-1,2,CAMIONETA ,MITSUBISHI ,MONTERO SPORT ,2017 ,BBM ,COLOR ROJO VINO ,142674.00 
569,0-110-2,1,CAMIONETA ,GREAT WALL ,M4 ,2016 ,AWJ 233 ,COLOR NEGRO ,36000.00 
570,0-110-2,2,MOTOCICLETA ,ADVANCE ,RY 200 ,2015 ,5062 7W ,COLOR NEGRO ,5000.00 
571,0-110-3,1, , , , , , , 
572,0-111-1,1, , , , , , , 
573,0-111-2,1,AUTO ,SUZUKI ,SWIFT ,2013 ,Z3R-489 ,COLOR ROJO ,25080.00 
574,0-111-3,1, , , , , , , 
575,0-112-1,1,MOTO ,SUZUKI ,GN125H ,2012 ,U23914 ,AZUL ,2000.00 
576,0-112-1,2,MOTOTAXI ,C Y C MOTORS ,MOTOTAXI 150 C Y C ,2009 ,U39087 ,NEGRO ,2500.00 
577,0-112-2,1,MOTOCICLETA ,LIFAN ,LF-150-9J ,2013 ,NY71393 ,ROJO ,1500.00 
578,0-112-2,2,MOTOCICLETA ,HAOJIN ,HJ150GY-2 ,2012 ,29002U ,ANARANJADO PLATA ,1600.00 
579,0-112-2,3,MOTOCICLETA ,HAOJIN ,HJ150GY-2 ,2012 ,55541U ,ROJO PLATA ,1600.00 
580,0-112-2,4,MOTOCICLETAS ,MAVILA ,FREEDOM ,2013 ,L14030 ,ROJO ,1800.00 
581,0-112-2,5,MOTOCICLETA ,MAVILA ,VERTIGO 200 ,2014 ,42273U ,ROJO ,2200.00 
582,0-112-3,1, , , , , , , 
583,0-113-1,1,CAMIONETA ,NISSAN ,FRONTIER ,2001 ,C5K-776 ,BLANCO ,25000.00 
584,0-113-2,1, , , , , , , 
585,0-113-3,1, , , , , , , 
586,0-113-4,1,AUTO ,CHERRY ,FULWING ,2013 ,W2D-177 ,AZUL DANUVIO ,20000.00 
587,0-113-4,2,AUTO ,WOLKSWAGEN ,COUPE ,1967 ,BMR-162 ,AZUL ,5000.00 
588,0-113-5,1, , , , , , , 
589,0-114-1,1,MOTOCICLETA ,LIFAN ,LF200GY-6 ,2008 ,A 11599 ,ROJO L3 ,7000.00 
590,0-114-1,2,MOTOCICLETA ,HONDA ,STORM ,2006 ,MV 21066 ,COLOR 3 L3 ,4000.00 
591,0-114-1,3,MOTOCICLETA ,HONDA ,XR 190 L ,2018 ,39239X ,NEGRO L3 ,8500.00 
592,0-114-1,4,MOTOCICLETA ,HONDA ,XR 125L ,2011 ,X 51238 ,NEGRO L3 ,7500.00 
593,0-114-1,5,MOTOCICLETA ,HONDA ,WAVE ,2002 ,X 15212 ,GUINDA L3 ,3200.00 
594,0-114-1,6,MOTOCICLETA ,YAMAHA ,TRIPTON ,2012 ,MV22234 ,VERDE ,4300.00 
595,0-115-1,1,AUTO ,SUZUKI ,HACHBACK ,2011 ,B6I - 421 ,AUTO ,25000.00 
596,0-115-1,2,MOTO ,YUMBO ,SHARK 200 ,2009 ,NI-28167 ,MOTO ,3000.00 
597,0-115-3,1, , , , , , , 
598,0-116-1,1, , , , , , , 
599,0-116-2,1,MINIVAN ,HYUNDAI ,H1 ,2018 ,DOH-965 ,COLOR BLANCO ,99000.00 
600,0-116-3,1, , , , , , , 
601,0-117-1,1, , , , , , , 
602,0-117-2,1, , , , , , , 
603,0-117-3,1,CARRO ,KIA ,PICANTO ,2016 ,24R272 ,BLANCO ,28000.00 
604,0-118-1,1, , , , , , , 
605,0-118-2,1, , , , , , , 
606,0-118-3,1, , , , , , , 
607,0-118-4,1, , , , , , , 
608,0-119-1,1,STATION WAGON ,TOYOTA ,SPRINTER CARIB ,1997 ,A9B-601 ,PLOMO ,25500.00 
609,0-119-1,2,CAMIONETA ,CHERY ,BEAT ,2011 ,B7P-163 ,ROJO NOBLE ,45000.00 
610,0-119-2,1, , , , , , , 
611,0-119-3,1,MOTOCICLETA ,JIAPENG ,JP100 ,2013 ,9780-1X ,NEGRA ,1800.00 
612,0-120-1,1,SEDAN ,NISSAN ,SENTRA ,1992 ,B7V337 ,NNISSAN SENTRA DEL AÑO 1992 ,6000.00 
613,0-120-1,2,SEDAN ,VOLKSWAGEN ,BORA ,2015 ,ADJ623 ,AUTOMOVIL DEL AÑO 2015 ,35000.00 
614,0-120-1,3,SEDAN ,VOLKSWAGEN ,TIGUAN ,2011 ,B2T543 ,AUTOMOVIL DEL SAÑO 2011 ,30000.00 
615,0-120-1,4,CAMIONETA ,VOLKSWAGEN ,TOUAREG ,2006 ,B1Y2015 ,CAMIONETA DEL AÑO 2006 ,20000.00 
616,0-120-4,1,CAMIONETA ,GREAT WALL ,H3 CITY 4X4 ,2012 ,P1O335 ,MECANICA ,34000.00 
617,0-120-5,1, , , , , , , 
618,0-120-6,1,MOTO ,ZONGSHEAN ,LINEAL ,2008 ,2075CP ,MOTO LINEAL ,3500.00 
619,0-120-7,1,CAMIONETA ,TOYOTA ,PICK UP ,1991 ,OB1122 ,HILUX 4 X 2 ,50000.00 
620,0-121-1,1, , , , , , , 
621,0-121-2,1, , , , , , , 
622,0-121-3,1, , , , , , , 
623,0-121-4,1, , , , , , , 
624,0-121-5,1, , , , , , , 
625,0-121-6,1, , , , , , , 
626,0-121-7,1,AUTO ,CHERRY ,FACE ,2013 ,V4W-170 ,"COLOR GRIS OSCURO, MOTOR SQR473FAFDC00738 ",14000.00 
627,0-122-1,1, , , , , , , 
628,0-122-2,1,MOTO LINEAL ,HONDA ,XR-125 L ,2012 ,MC-0590 ,ROJA ,8000.00 
629,0-122-2,2,CAMIONETA ,TOYOTA ,HILUX ,2006 ,C2X-885 ,BLANCA ,45000.00 
630,0-122-3,1, , , , , , , 
631,0-122-5,1,MOTO ,BONUCCI ,BN125-T-15F ,2012 ,W66836 ,COLOR NEGRO ,2800.00 
632,0-124-2,1,AUTOMOVIL ,TOYOTA ,NCP93 ,2006 ,W2D060 ,COLOR ROJO ,20000.00 
633,0-124-2,2,MOTO ,HONDA ,HONDA ,2006 ,MM11662 ,COLOR PLATA ,1700.00 
634,0-125-1,1, , , , , , , 
635,0-125-3,1,MOTOCICLETA ,WANXIN ,WX150-3V ,2012 ,4979-2T ,COLOR NEGRO ,3150.00 
636,0-125-4,1, , , , , , , 
637,0-125-5,1, , , , , , , 
638,0-125-6,1, , , , , , , 
639,0-126-1,1,CAMIONETA ,RENAULT ,OROCH ,2016 ,X4B908 ,COLOR PLOMO PICK UP ,59200.00 
